Date,location,actual_volume,best_forecast,selected_model,forecast_error,absolute_error
2026-04-02,4,523.0,495.4553171395213,Holiday SARIMA,-27.5446828604787,27.5446828604787
2026-04-03,4,0.0,55.03742500465398,Holiday SARIMA,55.03742500465398,55.03742500465398
2026-04-04,4,212.0,88.09104142890568,Holiday SARIMA,-123.90895857109432,123.90895857109432
2026-03-08,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-09,5,40.0,48.0,Seasonal naïve,8.0,8.0
2026-03-10,5,50.0,63.0,Seasonal naïve,13.0,13.0
2026-03-11,5,37.0,50.0,Seasonal naïve,13.0,13.0
2026-03-12,5,40.0,35.0,Seasonal naïve,-5.0,5.0
2026-03-13,5,47.0,58.0,Seasonal naïve,11.0,11.0
2026-03-14,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-15,5,35.0,0.0,Seasonal naïve,-35.0,35.0
2026-03-16,5,90.0,48.0,Seasonal naïve,-42.0,42.0
2026-03-17,5,38.0,63.0,Seasonal naïve,25.0,25.0
2026-03-18,5,40.0,50.0,Seasonal naïve,10.0,10.0
2026-03-19,5,47.0,35.0,Seasonal naïve,-12.0,12.0
2026-03-20,5,48.0,58.0,Seasonal naïve,10.0,10.0
2026-03-21,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-22,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-23,5,39.0,48.0,Seasonal naïve,9.0,9.0
2026-03-24,5,47.0,63.0,Seasonal naïve,16.0,16.0
2026-03-25,5,39.0,50.0,Seasonal naïve,11.0,11.0
2026-03-26,5,38.0,35.0,Seasonal naïve,-3.0,3.0
2026-03-27,5,34.0,58.0,Seasonal naïve,24.0,24.0
2026-03-28,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-29,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-30,5,37.0,48.0,Seasonal naïve,11.0,11.0
2026-03-31,5,43.0,63.0,Seasonal naïve,20.0,20.0
2026-04-01,5,42.0,50.0,Seasonal naïve,8.0,8.0
2026-04-02,5,46.0,35.0,Seasonal naïve,-11.0,11.0
2026-04-03,5,0.0,58.0,Seasonal naïve,58.0,58.0
2026-04-04,5,0.0,0.0,Seasonal naïve,0.0,0.0
2026-03-08,6,34.0,27.04985809326172,XGBoost,-6.950141906738281,6.950141906738281
2026-03-09,6,4160.0,4756.646484375,XGBoost,596.646484375,596.646484375
2026-03-10,6,5417.0,5250.20166015625,XGBoost,-166.79833984375,166.79833984375
2026-03-11,6,5662.0,4966.97802734375,XGBoost,-695.02197265625,695.02197265625
2026-03-12,6,4973.0,4962.90234375,XGBoost,-10.09765625,10.09765625
2026-03-13,6,4136.0,4608.4501953125,XGBoost,472.4501953125,472.4501953125
2026-03-14,6,92.0,67.45165252685547,XGBoost,-24.54834747314453,24.54834747314453
2026-03-15,6,28.0,31.87942886352539,XGBoost,3.8794288635253906,3.8794288635253906
2026-03-16,6,4829.0,4821.49267578125,XGBoost,-7.50732421875,7.50732421875
2026-03-17,6,4883.0,5311.88037109375,XGBoost,428.88037109375,428.88037109375
2026-03-18,6,4774.0,4980.384765625,XGBoost,206.384765625,206.384765625
2026-03-19,6,4325.0,4980.8193359375,XGBoost,655.8193359375,655.8193359375
2026-03-20,6,5009.0,4624.814453125,XGBoost,-384.185546875,384.185546875
2026-03-21,6,106.0,61.241661071777344,XGBoost,-44.758338928222656,44.758338928222656
2026-03-22,6,28.0,29.57703399658203,XGBoost,1.5770339965820312,1.5770339965820312
2026-03-23,6,5181.0,4898.8447265625,XGBoost,-282.1552734375,282.1552734375
2026-03-24,6,5598.0,5270.130859375,XGBoost,-327.869140625,327.869140625
2026-03-25,6,4919.0,4994.0341796875,XGBoost,75.0341796875,75.0341796875
2026-03-26,6,5336.0,4937.94873046875,XGBoost,-398.05126953125,398.05126953125
2026-03-27,6,4328.0,4603.23388671875,XGBoost,275.23388671875,275.23388671875
2026-03-28,6,153.0,65.440673828125,XGBoost,-87.559326171875,87.559326171875
2026-03-29,6,23.0,27.594818115234375,XGBoost,4.594818115234375,4.594818115234375
2026-03-30,6,4865.0,4854.15625,XGBoost,-10.84375,10.84375
2026-03-31,6,6187.0,5331.62939453125,XGBoost,-855.37060546875,855.37060546875
2026-04-01,6,4882.0,5017.30712890625,XGBoost,135.30712890625,135.30712890625
2026-04-02,6,4580.0,4870.10986328125,XGBoost,290.10986328125,290.10986328125
2026-04-03,6,0.0,238.5276336669922,XGBoost,238.5276336669922,238.5276336669922
2026-04-04,6,66.0,49.28544998168945,XGBoost,-16.714550018310547,16.714550018310547
2026-03-08,7,347.0,239.00570678710938,XGBoost,-107.99429321289062,107.99429321289062
2026-03-09,7,4348.0,4367.134765625,XGBoost,19.134765625,19.134765625
2026-03-10,7,5446.0,4719.49853515625,XGBoost,-726.50146484375,726.50146484375
2026-03-11,7,4556.0,4636.8955078125,XGBoost,80.8955078125,80.8955078125
2026-03-12,7,4129.0,4428.744140625,XGBoost,299.744140625,299.744140625
2026-03-13,7,4226.0,4147.9697265625,XGBoost,-78.0302734375,78.0302734375
2026-03-14,7,241.0,287.3853759765625,XGBoost,46.3853759765625,46.3853759765625
2026-03-15,7,354.0,224.4226837158203,XGBoost,-129.5773162841797,129.5773162841797
2026-03-16,7,4523.0,4422.6328125,XGBoost,-100.3671875,100.3671875
2026-03-17,7,4973.0,4659.0625,XGBoost,-313.9375,313.9375
2026-03-18,7,4637.0,4678.00390625,XGBoost,41.00390625,41.00390625
2026-03-19,7,4343.0,4416.72265625,XGBoost,73.72265625,73.72265625
2026-03-20,7,4139.0,4242.81884765625,XGBoost,103.81884765625,103.81884765625
2026-03-21,7,315.0,286.5851745605469,XGBoost,-28.414825439453125,28.414825439453125
